,dimX,dimY,label,price,cpu_cores
0,112.93614,-1.732335,Intel,1383.99,12.0
1,69.95296,51.493423,Intel,2274.99,12.0
2,-22.345722,-100.17096,AMD,1879.99,8.0
3,-14.525089,-166.43118,AMD,1331.99,6.0
4,190.00186,44.638344,AMD,2681.99,16.0
5,211.36565,-93.32966,Intel,2751.99,16.0
6,-94.122734,-197.61584,Apple,1609.99,6.0
7,-5.1918755,-215.4494,Apple,2139.99,8.0
8,-163.92444,44.249107,,,
9,-95.57279,53.085003,AMD,1653.99,4.0
10,-68.184,-201.67531,Intel,1371.99,6.0
11,162.37672,-10.714013,AMD,1366.99,6.0
12,114.204666,-67.645,Intel,1507.99,14.0
13,124.5869,189.10515,AMD,2761.99,12.0
14,73.460655,142.07138,AMD,2045.99,18.0
15,33.81923,210.94495,AMD,2109.99,14.0
16,122.53088,53.225838,AMD,2678.99,14.0
17,2.368884,-77.704285,Apple,3421.99,18.0
18,138.78665,-105.65784,Intel,1388.99,8.0
19,-109.34416,-146.87877,Intel,1525.99,12.0
20,159.33344,150.33112,Intel,1123.99,4.0
21,131.86388,-186.3293,Intel,2560.99,18.0
22,-109.34416,-146.87877,Apple,2530.99,16.0
23,88.8483,-68.55666,Intel,980.99,4.0
24,115.89987,98.75971,Intel,1503.99,12.0
25,-18.339767,117.34836,Intel,3002.99,16.0
26,51.610073,-112.47785,,,
27,138.78665,-105.65784,Intel,2386.99,10.0
28,162.37672,-10.714013,,,
29,-26.932652,52.914967,Intel,1489.99,10.0
30,-63.092876,99.21578,AMD,1641.99,12.0
31,89.25702,-24.827797,AMD,2306.99,14.0
32,99.752235,126.32364,AMD,2269.99,8.0
33,159.33344,150.33112,Intel,1274.99,8.0
34,137.7547,126.75653,Apple,3163.99,16.0
35,69.95296,51.493423,AMD,2232.99,16.0
36,-11.708985,-240.31006,AMD,2307.99,18.0
37,-191.78355,86.60471,Intel,1947.99,18.0
38,-37.628265,-204.37656,Intel,2623.99,12.0
39,51.532875,-153.95615,Apple,1720.99,8.0
40,155.03633,69.44031,Intel,1410.99,4.0
